epoch,train_loss,val_loss,lr,elapsed_sec
1,4.24061,,2.6667e-04,193.14
2,3.023745,,4.0000e-04,178.43
3,2.864939,,4.0000e-04,172.31
4,2.735613,,3.9796e-04,165.78
5,2.628032,2.306388,3.9190e-04,165.63
6,2.54364,,3.8193e-04,192.98
7,2.469057,,3.6825e-04,166.51
8,2.403042,,3.5115e-04,166.66
9,2.343573,,3.3097e-04,168.12
10,2.297729,1.9199,3.0813e-04,163.76
11,2.246774,,2.8308e-04,189.69
12,2.205972,,2.5635e-04,158.99
13,2.162054,,2.2846e-04,158.79
14,2.122919,,2.0000e-04,164.83
15,2.079927,1.813793,1.7154e-04,163.37
16,2.045412,,1.4365e-04,190.53
17,2.013732,,1.1692e-04,161.35
18,1.990944,,9.1872e-05,152.39
19,1.965226,,6.9028e-05,154.68
20,1.945257,1.800985,4.8850e-05,152.05
21,1.932458,,3.1749e-05,185.42
22,1.916282,,1.8074e-05,155.58
23,1.910815,,8.1014e-06,149.58
24,1.908526,,2.0357e-06,155.24
25,1.906902,1.782855,0.0000e+00,146.81
