epoch,train_loss,val_loss,lr,elapsed_sec
1,6.225017,,2.6667e-04,139.19
2,3.469813,,4.0000e-04,131.59
3,3.149178,,4.0000e-04,125.93
4,3.007916,,3.9796e-04,121.61
5,2.917069,2.639662,3.9190e-04,121.6
6,2.844646,,3.8193e-04,139.56
7,2.784377,,3.6825e-04,127.39
8,2.734182,,3.5115e-04,127.86
9,2.689262,,3.3097e-04,123.18
10,2.655073,2.360752,3.0813e-04,123.83
11,2.625033,,2.8308e-04,131.13
12,2.598052,,2.5635e-04,123.54
13,2.573278,,2.2846e-04,125.24
14,2.558478,,2.0000e-04,124.53
15,2.546182,2.241439,1.7154e-04,122.57
16,2.527652,,1.4365e-04,129.58
17,2.51344,,1.1692e-04,122.57
18,2.504898,,9.1872e-05,121.69
19,2.497529,,6.9028e-05,124.1
20,2.48562,2.191743,4.8850e-05,119.54
21,2.480847,,3.1749e-05,133.09
22,2.472156,,1.8074e-05,122.13
23,2.469841,,8.1014e-06,124.08
24,2.466394,,2.0357e-06,126.22
25,2.466506,2.18511,0.0000e+00,122.43
