epoch,train_loss,val_loss,lr,elapsed_sec
1,4.863896,,2.6667e-04,138.34
2,3.105033,,4.0000e-04,133.05
3,2.8924,,4.0000e-04,129.37
4,2.765782,,3.9796e-04,124.89
5,2.659326,2.357121,3.9190e-04,124.25
6,2.574302,,3.8193e-04,141.56
7,2.494199,,3.6825e-04,118.12
8,2.430225,,3.5115e-04,115.75
9,2.374064,,3.3097e-04,117.81
10,2.328351,1.97829,3.0813e-04,110.46
11,2.283539,,2.8308e-04,132.37
12,2.24889,,2.5635e-04,118.15
13,2.217926,,2.2846e-04,94.17
14,2.19092,,2.0000e-04,93.43
15,2.165143,1.807126,1.7154e-04,93.8
16,2.144469,,1.4365e-04,131.12
17,2.129096,,1.1692e-04,111.55
18,2.116011,,9.1872e-05,96.85
19,2.101023,,6.9028e-05,94.1
20,2.091604,1.716366,4.8850e-05,92.57
21,2.085622,,3.1749e-05,137.48
22,2.079535,,1.8074e-05,120.2
23,2.074222,,8.1014e-06,103.77
24,2.071808,,2.0357e-06,100.73
25,2.073844,1.701997,0.0000e+00,101.08
