epoch,train_loss,val_loss,lr,elapsed_sec
1,4.501455,,2.6667e-04,165.39
2,3.240598,,4.0000e-04,163.33
3,3.038124,,4.0000e-04,163.86
4,2.9239,,3.9796e-04,161.49
5,2.845502,2.569505,3.9190e-04,160.87
6,2.784095,,3.8193e-04,167.01
7,2.735274,,3.6825e-04,156.55
8,2.685197,,3.5115e-04,157.2
9,2.647866,,3.3097e-04,159.08
10,2.612899,2.28908,3.0813e-04,157.88
11,2.585465,,2.8308e-04,160.75
12,2.560743,,2.5635e-04,156.73
13,2.539811,,2.2846e-04,156.05
14,2.520902,,2.0000e-04,156.49
15,2.504049,2.16315,1.7154e-04,153.24
16,2.489742,,1.4365e-04,158.88
17,2.479254,,1.1692e-04,153.99
18,2.466079,,9.1872e-05,153.99
19,2.455084,,6.9028e-05,155.85
20,2.452071,2.10755,4.8850e-05,157.33
21,2.44635,,3.1749e-05,162.54
22,2.441718,,1.8074e-05,154.88
23,2.441116,,8.1014e-06,151.44
24,2.438645,,2.0357e-06,151.11
25,2.440953,2.10277,0.0000e+00,150.57
