epoch,train_loss,val_loss,lr,elapsed_sec
1,4.908838,,2.6667e-04,171.06
2,3.11167,,4.0000e-04,171.31
3,2.883896,,4.0000e-04,165.62
4,2.741299,,3.9796e-04,165.58
5,2.629331,2.360212,3.9190e-04,164.26
6,2.53397,,3.8193e-04,167.03
7,2.45904,,3.6825e-04,163.75
8,2.394575,,3.5115e-04,165.47
9,2.336207,,3.3097e-04,166.97
10,2.28815,1.973588,3.0813e-04,164.55
11,2.244791,,2.8308e-04,165.69
12,2.211371,,2.5635e-04,159.88
13,2.176972,,2.2846e-04,158.71
14,2.149295,,2.0000e-04,157.14
15,2.128866,1.787845,1.7154e-04,157.68
16,2.11021,,1.4365e-04,165.52
17,2.094837,,1.1692e-04,159.51
18,2.079145,,9.1872e-05,159.8
19,2.066905,,6.9028e-05,156.67
20,2.058613,1.712186,4.8850e-05,155.75
21,2.051341,,3.1749e-05,159.31
22,2.048984,,1.8074e-05,153.99
23,2.047368,,8.1014e-06,156.04
24,2.04084,,2.0357e-06,155.3
25,2.040361,1.69915,0.0000e+00,156.78
